Language, Speaker, Word, POS
1,2, like, ADV
1,2, to, PREP
1,2, do, PRON
1,2, my, VERB
1,2, initial, PREP
1,2, review, VERB
1,2, solo, DET
1,2, just, ADJ
1,2, to, NOUN
1,2, get, ADV
1,2, the, ADV
1,2, basics, PREP
1,2, down, VERB
2,2, 但是, DET
2,2, 之后, NOUN
2,2, 学习, ADV
2,2, 小组, CONJ
2,2, 对于, ADV
2,2, 那些, DET
2,2, 真正, NOUN
2,2, 复杂, PREP
2,2, 的东西, NOUN
2,2, 是, PREP
2,2, 必不可少, DET
2,2, 的, NOUN
1,2, We're, ADV
1,2, meeting, ADJ
1,2, for, VERB
1,2, o-chem, ADJ
1,2, on, PRON
1,2, Friday, VERB
1,1, That's, PREP
1,1, smart, NOUN
1,1, Maybe, PREP
1,1, I, NOUN
1,1, should, PRON
1,1, try, ADJ
1,1, to, VERB
1,1, organize, ADV
1,1, something, VERB
1,1, for, MODAL
1,1, physics, VERB
2,1, 尝试, PREP
2,1, 大声, VERB
2,1, 解释, PRON
2,1, 波粒, PREP
2,1, 二象性, NOUN
2,1, 也许, VERB
2,1, 终于, VERB
2,1, 能让, DET
2,1, 它, NOUN
2,1, 进入, NOUN
2,1, 我的, PREP
2,1, 脑袋, NOUN
2,1, 这, ADJ
2,1, 一次, VERB
1,2, Definitely, ADV
1,2, Sometimes, PRON
1,2, just, VERB
1,2, hearing, PREP
1,2, someone, DET
1,2, else, NOUN
1,2, say, ADV
1,2, it, ADV
1,2, differently, VERB
1,2, makes, DET
1,2, all, NOUN
1,2, the, PREP
1,2, difference, DET
1,2, Oh, NOUN
2,2, 我, ADV
2,2, 刚才, ADV
2,2, 正好, ADV
2,2, 在, VERB
2,2, 看, PRON
2,2, 一些, ADV
2,2, 练习题, VERB
1,2, Want, PRON
1,2, to, ADV
1,2, take, VERB
1,2, a, DET
1,2, quick, NOUN
1,2, brain, INTERJ
1,2, break, VERB
1,2, and, ADV
1,2, try, PREP
1,2, a, NOUN
1,2, couple, PREP
1,1, You, VERB
1,1, know, DET
1,1, what, ADJ
1,1, That, NOUN
1,1, actually, NOUN
1,1, sounds, CONJ
1,1, almost, VERB
1,1, appealing, DET
2,1, 以一种, NOUN
2,1, 极度, PRON
2,1, 令人紧张的, VERB
2,1, 方式, PRON
1,1, Okay, ADV
1,1, let's, ADJ
1,1, do, INTERJ
1,1, it, VERB
2,1, 也许, VERB
2,1, 如果, PRON
2,1, 我们, ADV
2,1, 假装, ADV
2,1, 这, CONJ
2,1, 是, PRON
2,1, 一个, VERB
2,1, 超级, CONJ
2,1, 紧张的, CONJ
2,1, 谜题, VERB
2,1, 我们的, DET
2,1, 大脑, NOUN
2,1, 就不会, ADV
2,1, 意识到, ADJ
2,1, 我们, DET
2,1, 正在, NOUN
2,1, 为, ADV
2,1, 我们, PRON
2,1, 即将到来, VERB
2,1, 的, ADV
2,1, 死亡, NOUN
2,1, 而学习, PRON
1,2, Exactly, VERB
1,2, Misery, NOUN
1,2, loves, PREP
1,2, company, PRON
1,2, but, VERB
1,2, shared, PREP
1,2, studying, NOUN
1,2, loves, ADJ
1,2, better, ADV
1,2, grades, ADJ
2,2, 让我们, VERB
2,2, 努力, PREP
2,2, 挺过, VERB
2,2, 这个, PREP
1,1, Deal, PRON
1,1, Maybe, ADV
1,1, we'll, NOUN
1,1, even, ADV
1,1, remember, PRON
1,1, each, VERB
1,1, other's, DET
1,1, names, PRON
1,1, by, NOUN
1,1, the, PREP
1,1, end, DET
1,1, of, NOUN
1,1, it, PREP
2,1, 成交, PRON
1,2, Fingers, NOUN
1,2, crossed, ADJ
